company_id,nama_perseroan,kbli,alamat_lengkap,kode_pos,maksud_tujuan,modal_dasar,modal_ditempatkan,modal_disetor,nilai_nominal_saham,jumlah_saham,direktur_utama,direktur_nik,direktur_npwp,komisaris_utama,komisaris_nik,komisaris_npwp,jangka_waktu,tanggal_akta,notaris,npwp_perusahaan,status_perusahaan,is_suspicious,risk_score,pemegang_saham_1_nama,pemegang_saham_1_nik,pemegang_saham_1_npwp,pemegang_saham_1_persentase,pemegang_saham_2_nama,pemegang_saham_2_nik,pemegang_saham_2_npwp,pemegang_saham_2_persentase,pemegang_saham_3_nama,pemegang_saham_3_nik,pemegang_saham_3_npwp,pemegang_saham_3_persentase
PT_0001,PT. Sena Bangun Aneka Pertiwi,46691,"Gang Jakarta No. 887
Samarinda, Kepulauan Bangka Belitung 56784",65659,Usaha perkebunan kelapa sawit dan pengolahan hasil,91192859981,60547964148,53603417684,1000000,60547,Umar Budiman,64712112733789,21.515.157.1-106.502,Farid Rachmadi,35783005910815,86.863.940.9-740.334,Tidak terbatas,2021-05-23,Talia Halimah,33.188.977.9-694.804,Aktif,False,31,Zaki Hartono,64711601607125,36.933.504.3-802.248,17.88,Eko Rahman,18712205635844.0,58.840.341.5-329.300,82.12,,,,
PT_0002,PT. Borneo Indah Marjaya,10412,"Jalan Tebet Barat Dalam No. 100
Blitar, SU 99154",75631,Usaha perkebunan kelapa sawit dan pengolahan hasil,57062904108,42673507065,41490582310,5000000,8534,Ratna Setiawan,32732203717095,34.701.854.2-212.235,Wati Setiawan,32730509965629,97.457.580.1-852.519,Tidak terbatas,2013-03-20,"Tantri Padmasari, M.TI.",73.590.760.9-174.110,Aktif,False,30,Bayu Gunawan,18710307666192,62.720.754.9-276.243,34.49,Zaki Santoso,31740203602728.0,50.396.622.2-873.156,54.0,Dian Darmawan,34712107652027.0,87.919.844.4-771.455,11.509999999999993
PT_0003,PT. Dewi Anthika Bahari,10412,"Jl. Moch. Toha No. 6
Pematangsiantar, SN 57574",35388,Usaha perkebunan kelapa sawit dan pengolahan hasil,91512944519,72157401497,57044366524,1000000,72157,Kartika Putra,32731210722805,54.787.505.4-297.803,Fitri Wahyudi,31740206569011,13.624.630.8-468.612,Tidak terbatas,2020-05-29,"Dt. Pranawa Uyainah, S.Pd",67.592.954.2-965.498,Aktif,False,12,Andi Putri,31742111598387,43.274.584.3-920.837,69.03,Umar Wijaya,31740112684861.0,45.304.945.8-701.962,30.97,,,,
PT_0004,PT. Imperindo Hasta Eka,1135,"Jalan Cempaka No. 866
Kota Administrasi Jakarta Utara, Aceh 87100",32794,Usaha perkebunan kelapa sawit dan pengolahan hasil,4441090635,466766424,121291564,10000000,46,Kartika Santoso,18710806597209,41.803.896.3-498.790,Wati Kurniawan,32011205948140,21.197.947.8-156.230,21 tahun,2024-07-12,Aisyah Prastuti,38.192.405.4-697.740,Aktif,True,91,Wati Wardana,32152503832579,68.243.918.6-245.730,22.85,Wati Wardana,34712810920816.0,39.818.171.7-533.747,13.37,Ahmad Maulana,32732906571057.0,62.286.432.9-424.941,11.49
PT_0005,PT. Nunukan Sarana Jaya,10412,"Gang Rajiman No. 7
Langsa, NB 55549",49164,Usaha perkebunan kelapa sawit dan pengolahan hasil,58231306976,26058579709,18749356103,5000000,5211,Yudi Nugroho,32731705998393,22.928.519.7-972.571,Hadi Permana,31742001715594,18.412.103.9-925.214,Tidak terbatas,2009-07-16,"Aslijan Waskita, S.Ked",78.545.387.9-456.768,Aktif,False,37,Farid Rachmadi,32152012704234,28.269.404.5-483.921,32.71,Wati Kusuma,64710805711323.0,77.391.103.8-309.835,15.42,Kartika Santoso,32730402742341.0,73.148.977.3-336.293,51.86999999999999
PT_0006,PT. Multi Jayantara Abadi,1134,"Jl. Ciwastra No. 338
Cirebon, PB 47413",38137,Usaha perkebunan kelapa sawit dan pengolahan hasil,46995713117,34436920500,24606553696,1000000,34436,Wati Wibowo,64710712815928,68.406.440.9-896.467,Indra Putra,32152401914760,36.541.460.3-465.400,Tidak terbatas,2017-02-28,Bakiman Suryono,98.200.258.7-714.142,Aktif,False,18,Ahmad Darmawan,32012603824067,56.757.635.8-388.830,36.43,Nana Wahyudi,32012907697369.0,26.445.631.5-976.800,31.89,Zaki Hartono,32732410896257.0,52.745.453.4-974.188,31.68
PT_0007,PT. Nadia Humaira,10411,"Jl. Kapten Muslihat No. 19
Langsa, BB 51278",17710,Usaha perkebunan kelapa sawit dan pengolahan hasil,13792429016,10842601577,8011506860,10000000,1084,Vina Wardana,32731702814975,43.754.335.7-801.605,Zaki Rachmadi,32010602672444,54.179.263.6-510.646,Tidak terbatas,2013-12-07,Dr. Vivi Pratama,60.813.565.6-335.442,Aktif,False,34,Ahmad Wardana,32012002003133,29.520.770.6-443.290,50.3,Indra Maulana,31741806897841.0,56.546.564.8-197.136,40.96,Vina Wardana,32152808675717.0,70.907.240.7-486.732,8.740000000000002
PT_0008,PT. Kartika Propitaganda,10411,"Jalan Sukabumi No. 906
Palopo, AC 36418",13696,Usaha perkebunan kelapa sawit dan pengolahan hasil,42674903905,18890193935,13967602137,1000000,18890,Endang Wibowo,64712311766477,68.381.898.3-906.783,Endang Darmawan,64713107652739,92.889.620.8-225.325,Tidak terbatas,2006-09-11,Adinata Januar,13.332.666.9-677.575,Aktif,False,22,Vina Kurniawan,18710512592788,93.624.431.3-388.458,24.15,Linda Hartono,31742303789927.0,65.836.834.1-433.271,21.7,Dewi Rahman,64711601901004.0,69.593.718.2-372.567,40.73
PT_0009,PT. Sebatin,1134,"Gg. Pelajar Pejuang No. 3
Mataram, Aceh 59720",3768,Usaha perkebunan kelapa sawit dan pengolahan hasil,68713924827,28766623904,28448673324,5000000,5753,Vina Darmawan,35782501812585,80.250.950.3-287.355,Indra Permana,64711306691053,93.237.801.7-493.695,Tidak terbatas,2013-11-14,Yunita Riyanti,30.267.537.4-848.366,Aktif,False,18,Putra Hidayat,18711909640077,98.676.447.8-627.365,100.0,,,,,,,,
PT_0010,PT. Sawit Sukses Sejahtera,1134,"Jalan Jend. A. Yani No. 02
Tarakan, Sulawesi Tenggara 42651",47325,Usaha perkebunan kelapa sawit dan pengolahan hasil,1673778859,500761625,131904954,1000000,500,Umar Wijaya,64710304700440,25.281.845.9-263.394,Umar Kurniawan,32730107939318,42.110.783.5-860.695,13 tahun,2024-02-08,"drg. Citra Halim, M.Kom.",52.690.131.2-703.668,Aktif,True,90,Endang Wardana,18711402832008,63.795.385.7-784.798,43.53,Gina Wahyudi,32731904729097.0,24.317.872.5-780.400,51.64,Putra Permana,64712512957874.0,78.595.645.1-778.978,4.829999999999998
