company_id,nama_pemegang_saham,nik,npwp,persentase_kepemilikan
PT_0001,Citra Budiman,34712506943102,96.175.990.1-701.731,100.0
PT_0002,Tono Rachmadi,32011505711850,87.243.286.6-969.584,33.99
PT_0002,Linda Darmawan,64712609551905,86.418.756.1-943.856,23.13
PT_0002,Dewi Kusuma,32732507681991,55.980.269.1-782.692,30.08
PT_0002,Wati Rahman,64712110907980,79.440.914.8-726.260,12.799999999999997
PT_0003,Hadi Wibowo,32732408706950,20.442.100.3-364.817,21.38
PT_0003,Sari Pratama,31740211914709,74.359.709.4-927.656,45.3
PT_0003,Maya Darmawan,18711010797489,52.659.982.5-203.104,25.58
PT_0003,Sinta Rachmadi,35780703725160,52.870.642.4-724.590,7.740000000000009
PT_0004,Sari Wijaya,31741007856865,88.288.707.6-393.107,100.0
PT_0005,Hadi Santoso,32011004633789,19.500.512.3-678.732,20.61
PT_0005,Sari Darmawan,32013108608293,80.289.387.8-903.560,79.39
PT_0006,Vina Putri,35782404826159,80.891.589.5-691.988,27.51
PT_0006,Farid Kurniawan,64711808560438,94.989.704.7-744.636,49.75
PT_0006,Tono Wijaya,18711905914889,69.483.532.5-366.603,17.94
PT_0006,Umar Kurniawan,31741201699046,56.249.771.5-703.771,4.799999999999994
PT_0007,Sinta Setiawan,31742809818034,75.263.412.6-176.273,100.0
PT_0008,Tono Wijaya,34711611894699,22.332.524.7-968.548,79.14
PT_0008,Sinta Rachmadi,64710403870500,28.297.345.6-862.317,15.93
PT_0008,Sari Pratama,64711706777473,60.723.725.4-908.997,4.93
PT_0009,Citra Permana,35780608873939,69.859.168.6-837.134,31.12
PT_0009,Ahmad Wahyudi,32011710749686,76.956.417.3-641.190,10.45
PT_0009,Wati Wibowo,18712608667093,48.157.609.4-300.820,58.42999999999999
PT_0010,Ahmad Wahyudi,32151001947499,36.408.385.7-558.237,39.94
PT_0010,Budi Permana,31742401607895,28.466.336.7-498.399,60.06
PT_0011,Yudi Rahman,32011203964902,47.826.428.3-235.960,18.11
PT_0011,Citra Budiman,34712901947647,46.227.352.7-396.608,81.89
PT_0012,Andi Permana,34710212546976,19.717.724.8-128.490,16.13
PT_0012,Linda Budiman,64713112763628,37.209.657.2-917.688,40.32
PT_0012,Sinta Rachmadi,35780210689835,22.537.695.3-607.147,43.550000000000004
PT_0013,Budi Budiman,18711203926185,77.515.818.5-993.408,100.0
PT_0014,Oki Wibowo,64711203689636,90.175.653.4-416.710,26.3
PT_0014,Bayu Firmansyah,34711909680044,88.172.763.9-642.471,73.7
PT_0015,Vina Putri,31741206692947,28.347.545.3-233.603,51.41
PT_0015,Wati Santoso,32150209581727,34.936.193.1-105.399,21.46
PT_0015,Sinta Hakim,18712308584965,54.739.301.2-482.655,27.130000000000003
PT_0016,Oki Wijaya,32010209561833,49.713.488.2-101.422,69.51
PT_0016,Sari Darmawan,35780801866233,58.689.586.2-152.970,30.489999999999995
PT_0017,Budi Rahman,64710901988475,71.340.318.8-592.220,16.37
PT_0017,Sari Pratama,31743110913332,94.155.625.2-665.727,21.36
PT_0017,Dian Syahputra,64712402616790,91.150.752.3-163.349,62.269999999999996
PT_0018,Zaki Permana,34710703869002,15.820.219.8-176.331,64.46
PT_0018,Bayu Santoso,35783103939339,61.286.167.3-557.448,20.69
PT_0018,Ratna Setiawan,34711806618422,48.221.713.6-745.962,14.850000000000005
PT_0019,Linda Darmawan,35783008753092,71.585.161.7-667.355,100.0
PT_0020,Ratna Permana,34710310982050,22.645.536.1-991.375,75.11
PT_0020,Sinta Rahman,64711203565111,98.586.134.5-391.120,12.27
PT_0020,Indra Pratama,32012007627304,83.906.109.8-330.103,12.620000000000001
PT_0021,Maya Wijaya,32011708853734,79.414.611.3-374.796,52.48
PT_0021,Ahmad Kusuma,32011209988096,18.767.263.2-407.628,44.52
PT_0021,Vina Putri,18711212644436,81.130.159.7-681.164,9.96
PT_0021,Farid Putra,34712709664506,29.759.221.2-271.505,-6.960000000000001
PT_0022,Eko Syahputra,35780401736188,39.680.176.9-274.639,24.48
PT_0022,Ratna Hidayat,18710211762232,11.743.407.4-277.686,24.23
PT_0022,Wati Wahyudi,18712611776933,32.518.451.1-769.757,29.8
PT_0022,Wati Rahman,35780402756722,40.966.187.6-257.414,21.48999999999999
