cluster_id,primary_entity,transaction_count,total_amount,date_range,transaction_ids,avg_risk_score,pattern_analysis
CLUSTER_001,86.588.116.1-904.118,103,151699931067,"{'start': '2023-03-06 13:02:00', 'end': '2025-05-24 19:40:50'}","['TXN_000001', 'TXN_000095', 'TXN_000182', 'TXN_000302', 'TXN_000482', 'TXN_000485', 'TXN_000514', 'TXN_000586', 'TXN_000623', 'TXN_000645', 'TXN_000797', 'TXN_000810', 'TXN_000827', 'TXN_000987', 'TXN_001015', 'TXN_001061', 'TXN_001096', 'TXN_001162', 'TXN_001215', 'TXN_001435', 'TXN_001464', 'TXN_001585', 'TXN_001674', 'TXN_001741', 'TXN_001781', 'TXN_001810', 'TXN_001923', 'TXN_001944', 'TXN_001985', 'TXN_002168', 'TXN_002349', 'TXN_002401', 'TXN_002499', 'TXN_002520', 'TXN_002571', 'TXN_002688', 'TXN_002692', 'TXN_002699', 'TXN_002724', 'TXN_002774', 'TXN_002802', 'TXN_002806', 'TXN_002814', 'TXN_002866', 'TXN_002999', 'TXN_003058', 'TXN_003059', 'TXN_003203', 'TXN_003229', 'TXN_003246', 'TXN_003303', 'TXN_003378', 'TXN_003446', 'TXN_003496', 'TXN_003504', 'TXN_003676', 'TXN_003773', 'TXN_003783', 'TXN_003868', 'TXN_003872', 'TXN_003967', 'TXN_004105', 'TXN_004133', 'TXN_004155', 'TXN_004167', 'TXN_004401', 'TXN_004494', 'TXN_004517', 'TXN_004529', 'TXN_004629', 'TXN_004738', 'TXN_004900', 'TXN_004997', 'TXN_005071', 'TXN_005132', 'TXN_005209', 'TXN_005229', 'TXN_005250', 'TXN_005467', 'TXN_005533', 'TXN_005574', 'TXN_005579', 'TXN_005679', 'TXN_005739', 'TXN_005879', 'TXN_005898', 'TXN_006002', 'TXN_006049', 'TXN_006212', 'TXN_006524', 'TXN_006540', 'TXN_006578', 'TXN_006590', 'TXN_006611', 'TXN_006755', 'TXN_007012', 'TXN_007107', 'TXN_007334', 'TXN_007419', 'TXN_007507', 'TXN_007528', 'TXN_007860', 'TXN_007957']",99.31067961165049,"['STRUCTURING_DETECTED', 'RAPID_SUCCESSION']"
CLUSTER_002,30.893.356.8-280.451,132,207219646913,"{'start': '2023-03-03 11:44:00', 'end': '2025-05-25 12:54:12'}","['TXN_000001', 'TXN_000010', 'TXN_000107', 'TXN_000199', 'TXN_000208', 'TXN_000261', 'TXN_000319', 'TXN_000322', 'TXN_000571', 'TXN_000573', 'TXN_000585', 'TXN_000713', 'TXN_000714', 'TXN_000743', 'TXN_000868', 'TXN_000953', 'TXN_000961', 'TXN_001080', 'TXN_001174', 'TXN_001185', 'TXN_001576', 'TXN_001671', 'TXN_001683', 'TXN_001734', 'TXN_001761', 'TXN_001766', 'TXN_002030', 'TXN_002094', 'TXN_002132', 'TXN_002290', 'TXN_002318', 'TXN_002400', 'TXN_002412', 'TXN_002542', 'TXN_002593', 'TXN_002668', 'TXN_002751', 'TXN_002781', 'TXN_002985', 'TXN_002994', 'TXN_003008', 'TXN_003031', 'TXN_003130', 'TXN_003184', 'TXN_003231', 'TXN_003356', 'TXN_003479', 'TXN_003532', 'TXN_003575', 'TXN_003577', 'TXN_003684', 'TXN_003734', 'TXN_003735', 'TXN_003886', 'TXN_003907', 'TXN_003919', 'TXN_003924', 'TXN_003971', 'TXN_004105', 'TXN_004262', 'TXN_004285', 'TXN_004318', 'TXN_004331', 'TXN_004341', 'TXN_004356', 'TXN_004390', 'TXN_004457', 'TXN_004477', 'TXN_004528', 'TXN_004537', 'TXN_004698', 'TXN_004724', 'TXN_004794', 'TXN_004859', 'TXN_004919', 'TXN_005033', 'TXN_005036', 'TXN_005060', 'TXN_005111', 'TXN_005131', 'TXN_005145', 'TXN_005261', 'TXN_005294', 'TXN_005368', 'TXN_005410', 'TXN_005439', 'TXN_005537', 'TXN_005631', 'TXN_005710', 'TXN_005747', 'TXN_005774', 'TXN_005840', 'TXN_005850', 'TXN_005995', 'TXN_006006', 'TXN_006015', 'TXN_006242', 'TXN_006253', 'TXN_006304', 'TXN_006453', 'TXN_006470', 'TXN_006593', 'TXN_006765', 'TXN_006807', 'TXN_006808', 'TXN_006835', 'TXN_006874', 'TXN_006889', 'TXN_006893', 'TXN_006965', 'TXN_007007', 'TXN_007108', 'TXN_007124', 'TXN_007146', 'TXN_007181', 'TXN_007229', 'TXN_007294', 'TXN_007306', 'TXN_007358', 'TXN_007396', 'TXN_007416', 'TXN_007446', 'TXN_007506', 'TXN_007562', 'TXN_007566', 'TXN_007628', 'TXN_007658', 'TXN_007681', 'TXN_007719', 'TXN_007735', 'TXN_007884', 'TXN_007896']",99.0909090909091,"['STRUCTURING_DETECTED', 'RAPID_SUCCESSION']"
CLUSTER_003,19.186.207.2-235.997,65,78657624507,"{'start': '2023-03-03 17:21:00', 'end': '2025-05-18 19:02:17'}","['TXN_000002', 'TXN_000039', 'TXN_000132', 'TXN_000259', 'TXN_000360', 'TXN_000440', 'TXN_000577', 'TXN_000731', 'TXN_000745', 'TXN_000801', 'TXN_000836', 'TXN_000991', 'TXN_001035', 'TXN_001101', 'TXN_001170', 'TXN_001449', 'TXN_001615', 'TXN_001729', 'TXN_001853', 'TXN_001885', 'TXN_002192', 'TXN_002210', 'TXN_002395', 'TXN_002473', 'TXN_002492', 'TXN_002512', 'TXN_002600', 'TXN_002839', 'TXN_002951', 'TXN_003109', 'TXN_003130', 'TXN_003190', 'TXN_003267', 'TXN_003360', 'TXN_003560', 'TXN_003797', 'TXN_003830', 'TXN_004067', 'TXN_004179', 'TXN_004268', 'TXN_004276', 'TXN_004324', 'TXN_004353', 'TXN_004496', 'TXN_004644', 'TXN_004889', 'TXN_004891', 'TXN_005005', 'TXN_005108', 'TXN_005170', 'TXN_005218', 'TXN_005309', 'TXN_005523', 'TXN_005570', 'TXN_005745', 'TXN_005749', 'TXN_006179', 'TXN_006712', 'TXN_006836', 'TXN_006967', 'TXN_007313', 'TXN_007484', 'TXN_007630', 'TXN_007694', 'TXN_007917']",97.46153846153847,"['STRUCTURING_DETECTED', 'RAPID_SUCCESSION']"
CLUSTER_004,36.873.212.4-663.479,115,185498586183,"{'start': '2023-03-10 17:54:00', 'end': '2025-05-26 06:32:04'}","['TXN_000002', 'TXN_000051', 'TXN_000103', 'TXN_000153', 'TXN_000276', 'TXN_000491', 'TXN_000691', 'TXN_000697', 'TXN_000715', 'TXN_000795', 'TXN_000818', 'TXN_000836', 'TXN_000900', 'TXN_000970', 'TXN_001134', 'TXN_001161', 'TXN_001176', 'TXN_001209', 'TXN_001242', 'TXN_001341', 'TXN_001344', 'TXN_001519', 'TXN_001600', 'TXN_001624', 'TXN_001628', 'TXN_001754', 'TXN_001802', 'TXN_001830', 'TXN_001860', 'TXN_001878', 'TXN_001988', 'TXN_002124', 'TXN_002172', 'TXN_002340', 'TXN_002403', 'TXN_002473', 'TXN_002619', 'TXN_002834', 'TXN_003098', 'TXN_003255', 'TXN_003255', 'TXN_003290', 'TXN_003311', 'TXN_003431', 'TXN_003496', 'TXN_003530', 'TXN_003659', 'TXN_003814', 'TXN_003838', 'TXN_003862', 'TXN_003944', 'TXN_003948', 'TXN_003982', 'TXN_004016', 'TXN_004043', 'TXN_004063', 'TXN_004255', 'TXN_004271', 'TXN_004328', 'TXN_004409', 'TXN_004442', 'TXN_004558', 'TXN_004588', 'TXN_004714', 'TXN_004749', 'TXN_004762', 'TXN_004846', 'TXN_004869', 'TXN_004883', 'TXN_004953', 'TXN_005124', 'TXN_005158', 'TXN_005194', 'TXN_005264', 'TXN_005305', 'TXN_005327', 'TXN_005368', 'TXN_005372', 'TXN_005428', 'TXN_005432', 'TXN_005452', 'TXN_005462', 'TXN_005464', 'TXN_005468', 'TXN_005663', 'TXN_005731', 'TXN_005755', 'TXN_005860', 'TXN_005945', 'TXN_006029', 'TXN_006066', 'TXN_006073', 'TXN_006108', 'TXN_006299', 'TXN_006327', 'TXN_006407', 'TXN_006416', 'TXN_006707', 'TXN_006828', 'TXN_006850', 'TXN_006858', 'TXN_007080', 'TXN_007124', 'TXN_007149', 'TXN_007217', 'TXN_007225', 'TXN_007316', 'TXN_007377', 'TXN_007552', 'TXN_007665', 'TXN_007720', 'TXN_007913', 'TXN_007921', 'TXN_007932', 'TXN_007933']",99.72173913043478,"['STRUCTURING_DETECTED', 'RAPID_SUCCESSION']"
CLUSTER_005,14.923.690.6-238.835,49,57916420024,"{'start': '2023-03-04 18:57:00', 'end': '2025-05-05 13:46:25'}","['TXN_000003', 'TXN_000007', 'TXN_000267', 'TXN_000407', 'TXN_000437', 'TXN_000486', 'TXN_001539', 'TXN_001956', 'TXN_002087', 'TXN_002179', 'TXN_002224', 'TXN_002402', 'TXN_002459', 'TXN_002485', 'TXN_002499', 'TXN_002523', 'TXN_002595', 'TXN_002687', 'TXN_002822', 'TXN_003002', 'TXN_003096', 'TXN_003118', 'TXN_003200', 'TXN_003265', 'TXN_003344', 'TXN_003396', 'TXN_003460', 'TXN_003719', 'TXN_003964', 'TXN_004372', 'TXN_004492', 'TXN_004901', 'TXN_005138', 'TXN_005378', 'TXN_005416', 'TXN_005457', 'TXN_005625', 'TXN_005651', 'TXN_005787', 'TXN_005873', 'TXN_005946', 'TXN_005995', 'TXN_006064', 'TXN_006233', 'TXN_006448', 'TXN_007112', 'TXN_007310', 'TXN_007690', 'TXN_007699']",96.0204081632653,"['STRUCTURING_DETECTED', 'RAPID_SUCCESSION']"
CLUSTER_006,14.169.469.4-148.900,131,177385387005,"{'start': '2023-03-08 18:20:00', 'end': '2025-05-16 13:44:30'}","['TXN_000003', 'TXN_000004', 'TXN_000017', 'TXN_000051', 'TXN_000120', 'TXN_000175', 'TXN_000250', 'TXN_000312', 'TXN_000410', 'TXN_000428', 'TXN_000490', 'TXN_000546', 'TXN_000729', 'TXN_000760', 'TXN_000822', 'TXN_000875', 'TXN_000886', 'TXN_000929', 'TXN_000969', 'TXN_001021', 'TXN_001027', 'TXN_001118', 'TXN_001122', 'TXN_001151', 'TXN_001170', 'TXN_001171', 'TXN_001182', 'TXN_001303', 'TXN_001371', 'TXN_001395', 'TXN_001412', 'TXN_001452', 'TXN_001491', 'TXN_001500', 'TXN_001512', 'TXN_001685', 'TXN_001746', 'TXN_001829', 'TXN_001943', 'TXN_002027', 'TXN_002082', 'TXN_002092', 'TXN_002140', 'TXN_002330', 'TXN_002448', 'TXN_002477', 'TXN_002478', 'TXN_002524', 'TXN_002557', 'TXN_002656', 'TXN_002725', 'TXN_002898', 'TXN_003059', 'TXN_003062', 'TXN_003327', 'TXN_003341', 'TXN_003428', 'TXN_003431', 'TXN_003473', 'TXN_003559', 'TXN_003613', 'TXN_003628', 'TXN_003668', 'TXN_003740', 'TXN_003769', 'TXN_003884', 'TXN_003964', 'TXN_004149', 'TXN_004164', 'TXN_004177', 'TXN_004283', 'TXN_004295', 'TXN_004399', 'TXN_004566', 'TXN_004675', 'TXN_004827', 'TXN_004926', 'TXN_004937', 'TXN_004949', 'TXN_005042', 'TXN_005159', 'TXN_005299', 'TXN_005314', 'TXN_005331', 'TXN_005349', 'TXN_005390', 'TXN_005399', 'TXN_005421', 'TXN_005457', 'TXN_005523', 'TXN_005530', 'TXN_005593', 'TXN_005599', 'TXN_005660', 'TXN_005684', 'TXN_005785', 'TXN_005885', 'TXN_006016', 'TXN_006025', 'TXN_006413', 'TXN_006422', 'TXN_006596', 'TXN_006632', 'TXN_006705', 'TXN_006776', 'TXN_006816', 'TXN_006897', 'TXN_006922', 'TXN_007021', 'TXN_007038', 'TXN_007102', 'TXN_007121', 'TXN_007200', 'TXN_007203', 'TXN_007321', 'TXN_007331', 'TXN_007343', 'TXN_007350', 'TXN_007379', 'TXN_007388', 'TXN_007423', 'TXN_007496', 'TXN_007509', 'TXN_007580', 'TXN_007583', 'TXN_007633', 'TXN_007655', 'TXN_007723', 'TXN_007820', 'TXN_007987', 'TXN_007990']",99.40458015267176,"['STRUCTURING_DETECTED', 'RAPID_SUCCESSION']"
CLUSTER_007,70.297.523.3-669.314,68,94962434450,"{'start': '2023-03-11 09:27:00', 'end': '2025-04-28 05:33:34'}","['TXN_000004', 'TXN_000037', 'TXN_000053', 'TXN_000358', 'TXN_000490', 'TXN_000514', 'TXN_000690', 'TXN_000910', 'TXN_000929', 'TXN_001018', 'TXN_001126', 'TXN_001312', 'TXN_001380', 'TXN_001552', 'TXN_001652', 'TXN_001701', 'TXN_001845', 'TXN_002201', 'TXN_002292', 'TXN_002438', 'TXN_002439', 'TXN_003064', 'TXN_003104', 'TXN_003306', 'TXN_003354', 'TXN_003377', 'TXN_003393', 'TXN_003538', 'TXN_003569', 'TXN_003688', 'TXN_003863', 'TXN_004169', 'TXN_004170', 'TXN_004277', 'TXN_004442', 'TXN_004571', 'TXN_004651', 'TXN_004880', 'TXN_005176', 'TXN_005197', 'TXN_005214', 'TXN_005229', 'TXN_005252', 'TXN_005455', 'TXN_005484', 'TXN_005653', 'TXN_005681', 'TXN_005724', 'TXN_005869', 'TXN_006018', 'TXN_006075', 'TXN_006180', 'TXN_006384', 'TXN_006398', 'TXN_006401', 'TXN_006477', 'TXN_006667', 'TXN_006698', 'TXN_007232', 'TXN_007306', 'TXN_007468', 'TXN_007546', 'TXN_007598', 'TXN_007615', 'TXN_007670', 'TXN_007735', 'TXN_007795', 'TXN_007920']",98.3529411764706,"['STRUCTURING_DETECTED', 'RAPID_SUCCESSION']"
CLUSTER_008,30.117.813.6-277.276,55,64322519644,"{'start': '2023-03-02 13:12:00', 'end': '2025-05-23 17:47:06'}","['TXN_000005', 'TXN_000183', 'TXN_000401', 'TXN_000444', 'TXN_000487', 'TXN_001108', 'TXN_001262', 'TXN_001299', 'TXN_001399', 'TXN_001610', 'TXN_002686', 'TXN_002800', 'TXN_002908', 'TXN_002963', 'TXN_002986', 'TXN_003014', 'TXN_003078', 'TXN_003236', 'TXN_003296', 'TXN_003456', 'TXN_003532', 'TXN_003553', 'TXN_003676', 'TXN_004003', 'TXN_004177', 'TXN_004309', 'TXN_004320', 'TXN_004429', 'TXN_004467', 'TXN_004518', 'TXN_004531', 'TXN_004704', 'TXN_004715', 'TXN_004717', 'TXN_004825', 'TXN_005114', 'TXN_005175', 'TXN_005531', 'TXN_005562', 'TXN_005973', 'TXN_006006', 'TXN_006056', 'TXN_006317', 'TXN_006375', 'TXN_006604', 'TXN_006634', 'TXN_006646', 'TXN_006754', 'TXN_006810', 'TXN_006852', 'TXN_006897', 'TXN_007211', 'TXN_007667', 'TXN_007756', 'TXN_007915']",97.0909090909091,"['STRUCTURING_DETECTED', 'RAPID_SUCCESSION']"
CLUSTER_009,70.907.394.1-425.112,117,154235709084,"{'start': '2023-03-07 13:43:00', 'end': '2025-05-22 06:41:13'}","['TXN_000005', 'TXN_000014', 'TXN_000075', 'TXN_000081', 'TXN_000238', 'TXN_000315', 'TXN_000339', 'TXN_000416', 'TXN_000458', 'TXN_000534', 'TXN_000544', 'TXN_000647', 'TXN_000779', 'TXN_000814', 'TXN_000865', 'TXN_000931', 'TXN_000967', 'TXN_001038', 'TXN_001060', 'TXN_001078', 'TXN_001094', 'TXN_001180', 'TXN_001245', 'TXN_001307', 'TXN_001370', 'TXN_001500', 'TXN_001640', 'TXN_001758', 'TXN_001914', 'TXN_002168', 'TXN_002242', 'TXN_002275', 'TXN_002285', 'TXN_002396', 'TXN_002463', 'TXN_002531', 'TXN_002596', 'TXN_002629', 'TXN_002858', 'TXN_002859', 'TXN_002870', 'TXN_002940', 'TXN_003096', 'TXN_003110', 'TXN_003197', 'TXN_003250', 'TXN_003297', 'TXN_003436', 'TXN_003458', 'TXN_003486', 'TXN_003499', 'TXN_003530', 'TXN_003555', 'TXN_003577', 'TXN_003666', 'TXN_003675', 'TXN_003682', 'TXN_003738', 'TXN_003851', 'TXN_003925', 'TXN_003934', 'TXN_003958', 'TXN_004085', 'TXN_004111', 'TXN_004190', 'TXN_004287', 'TXN_004355', 'TXN_004361', 'TXN_004581', 'TXN_004627', 'TXN_004637', 'TXN_004641', 'TXN_004699', 'TXN_004714', 'TXN_004735', 'TXN_004880', 'TXN_004928', 'TXN_005069', 'TXN_005099', 'TXN_005155', 'TXN_005288', 'TXN_005307', 'TXN_005335', 'TXN_005378', 'TXN_005481', 'TXN_005564', 'TXN_005666', 'TXN_005699', 'TXN_005741', 'TXN_005801', 'TXN_005853', 'TXN_005875', 'TXN_005877', 'TXN_005917', 'TXN_005964', 'TXN_005985', 'TXN_006001', 'TXN_006019', 'TXN_006042', 'TXN_006115', 'TXN_006189', 'TXN_006276', 'TXN_006292', 'TXN_006363', 'TXN_006583', 'TXN_006707', 'TXN_006718', 'TXN_006936', 'TXN_007116', 'TXN_007130', 'TXN_007168', 'TXN_007261', 'TXN_007414', 'TXN_007425', 'TXN_007592', 'TXN_007666', 'TXN_007814']",99.58974358974359,"['STRUCTURING_DETECTED', 'RAPID_SUCCESSION']"
CLUSTER_010,26.474.848.5-893.728,48,62270152764,"{'start': '2023-04-08 17:42:00', 'end': '2025-05-18 11:05:56'}","['TXN_000006', 'TXN_000147', 'TXN_000232', 'TXN_000274', 'TXN_000572', 'TXN_000666', 'TXN_000697', 'TXN_001002', 'TXN_001074', 'TXN_001707', 'TXN_001856', 'TXN_001982', 'TXN_002170', 'TXN_002185', 'TXN_002303', 'TXN_002582', 'TXN_002893', 'TXN_002914', 'TXN_003032', 'TXN_003184', 'TXN_003387', 'TXN_003422', 'TXN_003506', 'TXN_003511', 'TXN_003841', 'TXN_004036', 'TXN_004045', 'TXN_004139', 'TXN_004382', 'TXN_004448', 'TXN_004485', 'TXN_004708', 'TXN_004851', 'TXN_004938', 'TXN_005024', 'TXN_005587', 'TXN_005759', 'TXN_005985', 'TXN_006052', 'TXN_006246', 'TXN_006483', 'TXN_006850', 'TXN_007078', 'TXN_007157', 'TXN_007414', 'TXN_007649', 'TXN_007839', 'TXN_007987']",96.375,"['STRUCTURING_DETECTED', 'RAPID_SUCCESSION']"
