person_id,full_name,nik,npwp,account_number,is_nominee
IND_0001,Ahmad Kusuma,32730603942664,29.228.305.1-113.456,0149578441660,False
IND_0002,Gina Putra,35782803585579,63.129.892.1-299.215,0168340385760,False
IND_0003,Indra Gunawan,31742904643830,21.844.437.7-849.104,0163705954234,False
IND_0004,Ahmad Wijaya,31740409990742,76.924.590.4-150.970,0165689271687,True
IND_0005,Ahmad Kusuma,64712102825184,34.809.646.5-262.613,0081113679069,False
IND_0006,Gina Pratama,18712406606973,92.441.184.7-986.588,0095691444906,False
IND_0007,Indra Santoso,64712006784422,26.887.458.9-677.874,0133544535266,False
IND_0008,Indra Kusuma,31741908744111,21.874.732.8-321.383,0167434357945,False
IND_0009,Gina Gunawan,18711303955893,12.415.505.1-980.759,0116004499606,True
IND_0010,Indra Santoso,31740806875767,44.460.551.3-545.971,0226972494800,False
IND_0011,Gina Sari,64711203696149,34.847.585.3-706.256,0192125788489,False
IND_0012,Indra Kusuma,31741411789286,68.536.474.2-553.726,0229374862723,True
IND_0013,Sari Santoso,32730404894187,72.331.552.4-668.277,0132511503480,False
IND_0014,Joko Wibowo,35781501755284,93.421.192.8-919.917,0089610118225,False
IND_0015,Dewi Putra,64712206745679,36.475.473.2-845.314,0088209058805,False
IND_0016,Dewi Putra,32012305891613,62.426.590.7-738.367,0136390290540,False
IND_0017,Sari Putra,32012010701364,93.957.713.6-460.504,0164331720843,True
IND_0018,Eko Santoso,18711303565819,27.970.244.9-232.199,0098812849333,False
IND_0019,Gina Gunawan,18712510598766,89.219.280.5-288.964,0163063041388,False
IND_0020,Hadi Kusuma,32011702669597,68.722.487.7-643.611,0192163729965,False
IND_0021,Sari Sari,18712802745227,10.597.182.4-399.152,0114849325330,True
IND_0022,Fitri Kusuma,35782406626280,98.507.253.7-150.223,0142821659776,False
IND_0023,Eko Wibowo,35782704882170,64.337.397.3-156.697,0137507472776,False
IND_0024,Ahmad Kusuma,31740901674511,55.393.672.7-679.380,0089858581696,False
